threshold,tn,fp,fn,tp,precision,recall,f1,tpr,fpr,cost
0.0,0,699,0,301,0.301,1.0,0.46272098385857036,0.9999999999999966,0.9999999999999986,699.0
0.002,0,699,0,301,0.301,1.0,0.46272098385857036,0.9999999999999966,0.9999999999999986,699.0
0.004,2,697,1,300,0.30090270812437314,0.9966777408637874,0.4622496147919877,0.996677740863784,0.997138769670957,707.0
0.006,4,695,2,299,0.3008048289738431,0.9933554817275747,0.4617760617760618,0.9933554817275714,0.9942775393419155,715.0
0.008,5,694,3,298,0.3004032258064516,0.9900332225913622,0.4609435421500387,0.9900332225913587,0.9928469241773948,724.0
0.01,10,689,3,298,0.30192502532928067,0.9900332225913622,0.46273291925465837,0.9900332225913587,0.9856938483547911,719.0
0.012,14,685,4,297,0.3024439918533605,0.9867109634551495,0.46297739672642246,0.9867109634551462,0.9799713876967081,725.0
0.014,18,681,4,297,0.30368098159509205,0.9867109634551495,0.46442533229085226,0.9867109634551462,0.9742489270386252,721.0
0.016,22,677,6,295,0.30349794238683125,0.9800664451827242,0.4634721131186174,0.9800664451827209,0.9685264663805422,737.0
0.018000000000000002,27,672,7,294,0.30434782608695654,0.9767441860465116,0.46408839779005523,0.9767441860465083,0.9613733905579385,742.0
0.02,34,665,7,294,0.30656934306569344,0.9767441860465116,0.4666666666666667,0.9767441860465083,0.9513590844062934,735.0
0.022,37,662,7,294,0.3075313807531381,0.9767441860465116,0.4677804295942721,0.9767441860465083,0.947067238912731,732.0
0.024,43,656,7,294,0.3094736842105263,0.9767441860465116,0.47002398081534774,0.9767441860465083,0.9384835479256066,726.0
0.026000000000000002,47,652,10,291,0.30858960763520676,0.9667774086378738,0.4678456591639871,0.9667774086378704,0.9327610872675237,752.0
0.028,53,646,11,290,0.30982905982905984,0.9634551495016611,0.4688763136620857,0.9634551495016579,0.9241773962803992,756.0
0.03,59,640,11,290,0.3118279569892473,0.9634551495016611,0.471161657189277,0.9634551495016579,0.9155937052932748,750.0
0.032,65,634,11,290,0.31385281385281383,0.9634551495016611,0.47346938775510206,0.9634551495016579,0.9070100143061504,744.0
0.034,69,630,12,289,0.3144722524483134,0.9601328903654485,0.4737704918032787,0.9601328903654452,0.9012875536480673,750.0
0.036000000000000004,73,626,12,289,0.3158469945355191,0.9601328903654485,0.4753289473684211,0.9601328903654452,0.8955650929899844,746.0
0.038,79,620,13,288,0.31718061674008813,0.9568106312292359,0.47642679900744417,0.9568106312292326,0.8869814020028599,750.0
0.04,86,613,13,288,0.3196448390677026,0.9568106312292359,0.47920133111480867,0.9568106312292326,0.8769670958512147,743.0
0.042,91,608,13,288,0.32142857142857145,0.9568106312292359,0.48120300751879697,0.9568106312292326,0.8698140200286111,738.0
0.044,99,600,15,286,0.3227990970654628,0.9501661129568106,0.4818871103622578,0.9501661129568074,0.858369098712445,750.0
0.046,106,593,16,285,0.3246013667425968,0.946843853820598,0.48346055979643765,0.9468438538205948,0.8483547925607999,753.0
0.048,109,590,17,284,0.32494279176201374,0.9435215946843853,0.48340425531914893,0.9435215946843821,0.8440629470672377,760.0
0.05,113,586,18,283,0.3256616800920598,0.9401993355481728,0.48376068376068376,0.9401993355481696,0.8383404864091547,766.0
0.052000000000000005,116,583,19,282,0.3260115606936416,0.9368770764119602,0.483704974271012,0.9368770764119569,0.8340486409155925,773.0
0.054,123,576,22,279,0.3263157894736842,0.9269102990033222,0.4826989619377163,0.9269102990033191,0.8240343347639473,796.0
0.056,130,569,23,278,0.3282172373081464,0.9235880398671097,0.4843205574912892,0.9235880398671065,0.814020028612302,799.0
0.058,140,559,23,278,0.3321385902031063,0.9235880398671097,0.48857644991212656,0.9235880398671065,0.7997138769670947,789.0
0.06,145,554,23,278,0.33413461538461536,0.9235880398671097,0.4907325684024713,0.9235880398671065,0.792560801144491,784.0
0.062,153,546,24,277,0.33657351154313486,0.920265780730897,0.4928825622775801,0.9202657807308939,0.7811158798283251,786.0
0.064,156,543,25,276,0.336996336996337,0.9169435215946844,0.4928571428571429,0.9169435215946813,0.7768240343347628,793.0
0.066,168,531,26,275,0.3411910669975186,0.9136212624584718,0.4968383017163505,0.9136212624584686,0.7596566523605139,791.0
0.068,170,529,30,271,0.33875,0.9003322259136213,0.49227974568574023,0.9003322259136182,0.7567954220314724,829.0
0.07,178,521,30,271,0.3421717171717172,0.9003322259136213,0.4958828911253431,0.9003322259136182,0.7453505007153065,821.0
0.07200000000000001,185,514,30,271,0.3452229299363057,0.9003322259136213,0.4990791896869245,0.9003322259136182,0.7353361945636613,814.0
0.074,190,509,30,271,0.3474358974358974,0.9003322259136213,0.5013876040703052,0.9003322259136182,0.7281831187410576,809.0
0.076,192,507,30,271,0.34832904884318766,0.9003322259136213,0.5023169601482854,0.9003322259136182,0.7253218884120161,807.0
0.078,196,503,31,270,0.34928848641655885,0.8970099667774086,0.5027932960893855,0.8970099667774056,0.7195994277539332,813.0
0.08,201,498,31,270,0.3515625,0.8970099667774086,0.5051449953227315,0.8970099667774056,0.7124463519313294,808.0
0.082,206,493,31,270,0.35386631716906947,0.8970099667774086,0.5075187969924813,0.8970099667774056,0.7052932761087257,803.0
0.084,213,486,31,270,0.35714285714285715,0.8970099667774086,0.510879848628193,0.8970099667774056,0.6952789699570805,796.0
0.08600000000000001,218,481,31,270,0.3595206391478029,0.8970099667774086,0.5133079847908745,0.8970099667774056,0.6881258941344768,791.0
0.088,223,476,32,269,0.3610738255033557,0.893687707641196,0.51434034416826,0.893687707641193,0.6809728183118731,796.0
0.09,230,469,33,268,0.36363636363636365,0.8903654485049833,0.5163776493256262,0.8903654485049803,0.670958512160228,799.0
0.092,235,464,33,268,0.366120218579235,0.8903654485049833,0.5188770571151985,0.8903654485049803,0.6638054363376242,794.0
0.094,239,460,33,268,0.36813186813186816,0.8903654485049833,0.5208940719144801,0.8903654485049803,0.6580829756795412,790.0
0.096,245,454,33,268,0.37119113573407203,0.8903654485049833,0.5239491691104594,0.8903654485049803,0.6494992846924168,784.0
0.098,249,450,33,268,0.3732590529247911,0.8903654485049833,0.5260058881256133,0.8903654485049803,0.6437768240343338,780.0
0.1,254,445,33,268,0.3758765778401122,0.8903654485049833,0.5285996055226825,0.8903654485049803,0.6366237482117301,775.0
0.10200000000000001,258,441,34,267,0.3771186440677966,0.8870431893687708,0.5292368681863231,0.8870431893687678,0.6309012875536472,781.0
0.10400000000000001,259,440,34,267,0.37765205091937765,0.8870431893687708,0.5297619047619048,0.8870431893687678,0.6294706723891264,780.0
0.106,264,435,34,267,0.3803418803418803,0.8870431893687708,0.5324027916251246,0.8870431893687678,0.6223175965665227,775.0
0.108,271,428,35,266,0.38328530259365995,0.8837209302325582,0.5346733668341709,0.8837209302325552,0.6123032904148775,778.0
0.11,278,421,38,263,0.3845029239766082,0.8737541528239202,0.534010152284264,0.8737541528239173,0.6022889842632323,801.0
0.112,281,418,38,263,0.38619676945668135,0.8737541528239202,0.5356415478615071,0.8737541528239173,0.5979971387696701,798.0
0.114,284,415,38,263,0.387905604719764,0.8737541528239202,0.5372829417773238,0.8737541528239173,0.5937052932761079,795.0
